Name of the element,Reference of the element,"Type of the element, ignoring UDET, truncated to 4 or 6 characters",Component spec reference,PIPE,Position,,Etemp,Ntemp,Ntemp
ileave tube of =67132086/358,=67132086/358,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 178984.55mm N 159608.206mm U 438.885mm,,,,
"TEE 2 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/358,TEE,11503_i20/TERB-150x100,"BTRM-1000-6""-B7610001-11503-01",E 176975.858mm N 159608.206mm U 440.893mm,,,,
"TEE 1 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/357,TEE,11503_i20/TERB-150x100,"BTRM-1000-6""-B7610001-11503-01",E 176689.858mm N 159608.206mm U 441.179mm,,,,
ileave tube of /SL-171501.6,=67132086/356,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 175886.279mm N 159608.206mm U 441.983mm,,,,
SL-171501.6,=67132086/356,ATTA,MDS/GT574-150-PMP,"BTRM-1000-6""-B7610001-11503-01",E 175225.699mm N 159608.206mm U 442.644mm,,,,
SL-171501.1,=67132086/355,ATTA,MDS/PIPE-REST.6-PMP,"BTRM-1000-6""-B7610001-11503-01",E 175225.699mm N 159608.206mm U 442.644mm,,,,
ileave tube of =67132086/354,=67132086/354,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 175095.042mm N 159608.206mm U 442.774mm,,,,
"OLET 1 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/354,OLET,11503_i20/BR3B-150x50,"BTRM-1000-6""-B7610001-11503-01",E 174964.385mm N 159608.206mm U 442.905mm,,,,
ileave tube of =67132086/353,=67132086/353,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 174887.83mm N 159608.206mm U 442.982mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/353,FLAN,11503_i20/WNFL-150,"BTRM-1000-6""-B7610001-11503-01",E 174722.275mm N 159608.206mm U 443.147mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/352,GASK,11503_i20/GKSW-150,"BTRM-1000-6""-B7610001-11503-01",E 174719.275mm N 159608.206mm U 443.15mm,,,,
"FBLIND 1 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/351,FBLI,11503_i20/BLFL-150,"BTRM-1000-6""-B7610001-11503-01",E 174719.275mm N 159608.206mm U 443.15mm,,,,
"BTRM-1000-6""-B7610001-11503-01/B1",=67132086/350,BRAN,,"BTRM-1000-6""-B7610001-11503-01",,,,,
"BTRM-1000-6""-B7610001-11503-01",=67132086/349,PIPE,,"BTRM-1000-6""-B7610001-11503-01",,,,,
"GASKET 6 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/348,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 154535.4mm U 1681.55mm,,,,
17-RO-10015,=67132086/347,INST,SPCOM-INST-600#/ROPW-50,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 154526.4mm U 1681.55mm,,,,
"GASKET 5 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/346,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 154523.2mm U 1681.55mm,,,,
"FLANGE 5 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/345,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 154523.2mm U 1681.55mm,,,,
ileave tube of /PS-171082.3,=67132086/344,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 154354.1mm U 1681.55mm,,,,
PS-171082.3,=67132086/344,ATTA,MDS/GT573-50-PMP,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 154265mm U 1681.55mm,,,,
PS-171082.5,=67132086/343,ATTA,MDS/AN578-50-PMP,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 154265mm U 1681.55mm,,,,
PS-171082.1,=67132086/342,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 154265mm U 1681.55mm,,,,
ileave tube of =67132086/341,=67132086/341,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 154194.5mm U 1681.55mm,,,,
"REDUCER 2 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/341,REDU,66620M0r01-GAS1/REEB-50x25,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 154124mm U 1681.55mm,,,,
"FLANGE 4 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/340,FLAN,66620M0r01-GAS1/WNFL-25,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 153979mm U 1668.1mm,,,,
"GASKET 4 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/339,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 153975.8mm U 1668.1mm,,,,
"VALVE 2 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/338,VALV,66620M0r01-GAS1/BARFL-25,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 153867.8mm U 1668.1mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/337,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 153756.6mm U 1668.1mm,,,,
"FLANGE 3 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/336,FLAN,66620M0r01-GAS1/WNFL-25,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 153756.6mm U 1668.1mm,,,,
ileave tube of =67132086/335,=67132086/335,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 153562.6mm U 1668.1mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/335,ELBO,66620M0r01-GAS1/E90B-25,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 153399.6mm U 1668.1mm,,,,
ileave tube of =67132086/334,=67132086/334,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 153399.6mm U 1605.1mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/334,FLAN,66620M0r01-GAS1/WNFL-25,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 153399.6mm U 1511.1mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/333,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 153399.6mm U 1507.9mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/332,VALV,66620M0r01-GAS1/BARFL-25,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 153399.6mm U 1399.9mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/331,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 153399.6mm U 1288.7mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/330,FLAN,66620M0r01-GAS1/WNFL-25,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 153399.6mm U 1288.7mm,,,,
"REDUCER 1 of BRANCH /BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/329,REDU,66620M0r01-GAS1/RECB-50x25,"BTRM-1000-1""-B1710046-66620M0-01",E 189983.003mm N 153399.6mm U 1143.7mm,,,,
"BTRM-1000-1""-B1710046-66620M0-01/B1",=67132086/328,BRAN,,"BTRM-1000-1""-B1710046-66620M0-01",,,,,
"BTRM-1000-1""-B1710046-66620M0-01",=67132086/327,PIPE,,"BTRM-1000-1""-B1710046-66620M0-01",,,,,
"BEND 1 of BRANCH /BTRM-1000-2""-B1710047-11503-01/B2",=67132086/326,BEND,11503_i20/BEND-50,"BTRM-1000-2""-B1710047-11503-01",E 189983.003mm N 159608.207mm U 550.136mm,,,,
ileave tube of =67132086/325,=67132086/325,TUBI,11503_i20/PIPE-50,"BTRM-1000-2""-B1710047-11503-01",E 189983.003mm N 159608.207mm U 849.43mm,,,,
"ELBOW 3 of BRANCH /BTRM-1000-2""-B1710047-11503-01/B2",=67132086/325,ELBO,11503_i20/E90B-50,"BTRM-1000-2""-B1710047-11503-01",E 189983.003mm N 159608.207mm U 1224.345mm,,,,
ileave tube of /SL-171506.3,=67132086/324,TUBI,11503_i20/PIPE-50,"BTRM-1000-2""-B1710047-11503-01",E 189983.003mm N 159270.322mm U 1226.035mm,,,,
SL-171506.3,=67132086/324,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-B1710047-11503-01",E 189983.003mm N 159008.057mm U 1227.346mm,,,,
ileave tube of /PS-171081.2,=67132086/323,TUBI,11503_i20/PIPE-50,"BTRM-1000-2""-B1710047-11503-01",E 189983.003mm N 157794.167mm U 1233.416mm,,,,
PS-171081.2,=67132086/323,ATTA,MDS/GT574-50-PMP,"BTRM-1000-2""-B1710047-11503-01",E 189983.003mm N 156580.277mm U 1239.486mm,,,,
PS-171081.1,=67132086/322,ATTA,MDS/PIPE-REST.2-PMP,"BTRM-1000-2""-B1710047-11503-01",E 189983.003mm N 156580.277mm U 1239.486mm,,,,
ileave tube of =67132086/321,=67132086/321,TUBI,11503_i20/PIPE-50,"BTRM-1000-2""-B1710047-11503-01",E 189983.003mm N 155923.746mm U 1242.769mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-2""-B1710047-11503-01/B2",=67132086/321,ELBO,11503_i20/E90B-50,"BTRM-1000-2""-B1710047-11503-01",E 189983.003mm N 155191.596mm U 1246.43mm,,,,
ileave tube of =67132086/320,=67132086/320,TUBI,11503_i20/PIPE-50,"BTRM-1000-2""-B1710047-11503-01",E 189983.003mm N 155191.596mm U 1462.55mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-2""-B1710047-11503-01/B2",=67132086/320,ELBO,11503_i20/E90B-50,"BTRM-1000-2""-B1710047-11503-01",E 189983.003mm N 155191.597mm U 1678.67mm,,,,
"ileave tube of /BTRM-1000-2""-B1710047-11503-01/B2",=67132086/319,TUBI,11503_i20/PIPE-50,"BTRM-1000-2""-B1710047-11503-01",E 189983.003mm N 154867.288mm U 1680.299mm,,,,
"BTRM-1000-2""-B1710047-11503-01/B2",=67132086/319,BRAN,,"BTRM-1000-2""-B1710047-11503-01",,,,,
"BEND 1 of BRANCH /BTRM-1000-2""-B1710047-11503-01/B1",=67132086/318,BEND,61503_i20/BEND-50,"BTRM-1000-2""-B1710047-11503-01",E 189983.003mm N 154618.6mm U 1681.55mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-2""-B1710047-11503-01/B1",=67132086/317,FLAN,61503_i20/WNFL-50,"BTRM-1000-2""-B1710047-11503-01",E 189983.003mm N 154538.6mm U 1681.55mm,,,,
"BTRM-1000-2""-B1710047-11503-01/B1",=67132086/316,BRAN,,"BTRM-1000-2""-B1710047-11503-01",,,,,
"BTRM-1000-2""-B1710047-11503-01",=67132086/315,PIPE,,"BTRM-1000-2""-B1710047-11503-01",,,,,
"ELBOW 5 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/314,ELBO,66620M0r01-GAS1/E90B-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.605mm N 158308.138mm U 745.644mm,,,,
ileave tube of /PS-171032.4,=67132086/313,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.605mm N 157689.3mm U 748.739mm,,,,
PS-171032.4,=67132086/313,ATTA,MDS/AN578-25-PMP,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.605mm N 157108.272mm U 751.644mm,,,,
PS-171032.3,=67132086/312,ATTA,MDS/PIPE-REST.1-PMP,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.605mm N 157108.272mm U 751.644mm,,,,
ileave tube of /PS-171031.1,=67132086/311,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.605mm N 155686.008mm U 758.756mm,,,,
PS-171031.1,=67132086/311,ATTA,MDS/BT500-25-PMP,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.605mm N 154263.743mm U 765.868mm,,,,
PS-171031.5,=67132086/310,ATTA,MDS/AN578-25-PMP,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.605mm N 154263.743mm U 765.868mm,,,,
PS-171031.3,=67132086/309,ATTA,MDS/PIPE-REST.1-PMP,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.605mm N 154263.743mm U 765.868mm,,,,
ileave tube of /PS-171029.2,=67132086/308,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.605mm N 153635.851mm U 769.008mm,,,,
PS-171029.2,=67132086/308,ATTA,MDS/AN578-25-PMP,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.605mm N 153007.958mm U 772.147mm,,,,
PS-171029.1,=67132086/307,ATTA,MDS/PIPE-REST.1-PMP,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.605mm N 153007.958mm U 772.147mm,,,,
ileave tube of =67132086/306,=67132086/306,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.605mm N 152945.583mm U 772.459mm,,,,
"ELBOW 4 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/306,ELBO,66620M0r01-GAS1/E90B-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.605mm N 152845.399mm U 772.96mm,,,,
ileave tube of =67132086/305,=67132086/305,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.603mm N 152845.399mm U 1198.935mm,,,,
"ELBOW 3 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/305,ELBO,66620M0r01-GAS1/E90B-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.6mm N 152845.4mm U 1625.1mm,,,,
"FLANGE 4 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/304,FLAN,66620M0r01-GAS1/WNFL-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.6mm N 152738.4mm U 1625.1mm,,,,
"GASKET 4 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/303,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.6mm N 152735.2mm U 1625.1mm,,,,
"VALVE 2 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/302,VALV,66620M0r01-GAS1/BARFL-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.6mm N 152627.2mm U 1625.1mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/301,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.6mm N 152516mm U 1625.1mm,,,,
"FLANGE 3 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/300,FLAN,66620M0r01-GAS1/WNFL-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.6mm N 152516mm U 1625.1mm,,,,
ileave tube of /PS-171028.1,=67132086/299,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.6mm N 152397mm U 1625.1mm,,,,
PS-171028.1,=67132086/299,ATTA,MDS/BT500-25-PMP,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.6mm N 152347mm U 1625.1mm,,,,
PS-171028.5,=67132086/298,ATTA,MDS/AN578-25-PMP,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.6mm N 152347mm U 1625.1mm,,,,
PS-171028.3,=67132086/297,ATTA,MDS/PIPE-REST.1-PMP,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.6mm N 152347mm U 1625.1mm,,,,
ileave tube of =67132086/296,=67132086/296,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.6mm N 152234.5mm U 1625.1mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/296,ELBO,66620M0r01-GAS1/E90B-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167763.6mm N 152084mm U 1625.1mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/295,FLAN,66620M0r01-GAS1/WNFL-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167870.6mm N 152084mm U 1625.1mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/294,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167873.8mm N 152084mm U 1625.1mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/293,VALV,66620M0r01-GAS1/BARFL-25,"BTRM-1000-1""-B1710012-66620M0-01",E 167981.8mm N 152084mm U 1625.1mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/292,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-1""-B1710012-66620M0-01",E 168093mm N 152084mm U 1625.1mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/291,FLAN,66620M0r01-GAS1/WNFL-25,"BTRM-1000-1""-B1710012-66620M0-01",E 168093mm N 152084mm U 1625.1mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/290,ELBO,66620M0r01-GAS1/E90B-25,"BTRM-1000-1""-B1710012-66620M0-01",E 168200mm N 152084mm U 1625.1mm,,,,
"REDUCER 1 of BRANCH /BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/289,REDU,66620M0r01-GAS1/RECB-50x25,"BTRM-1000-1""-B1710012-66620M0-01",E 168200mm N 152084mm U 1511.1mm,,,,
"BTRM-1000-1""-B1710012-66620M0-01/B1",=67132086/288,BRAN,,"BTRM-1000-1""-B1710012-66620M0-01",,,,,
"BTRM-1000-1""-B1710012-66620M0-01",=67132086/287,PIPE,,"BTRM-1000-1""-B1710012-66620M0-01",,,,,
"ELBOW 5 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/286,ELBO,66620M0r01-GAS1/E90B-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.601mm N 158308.141mm U 770.645mm,,,,
ileave tube of /PS-171024.4,=67132086/285,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.601mm N 157689.364mm U 773.739mm,,,,
PS-171024.4,=67132086/285,ATTA,MDS/AN578-25-PMP,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.601mm N 157108.397mm U 776.644mm,,,,
PS-171024.3,=67132086/284,ATTA,MDS/PIPE-REST.1-PMP,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.601mm N 157108.397mm U 776.644mm,,,,
ileave tube of /PS-171023.1,=67132086/283,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.601mm N 155686.133mm U 783.756mm,,,,
PS-171023.1,=67132086/283,ATTA,MDS/BT500-25-PMP,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.601mm N 154263.868mm U 790.868mm,,,,
PS-171023.5,=67132086/282,ATTA,MDS/AN578-25-PMP,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.601mm N 154263.868mm U 790.868mm,,,,
PS-171023.3,=67132086/281,ATTA,MDS/PIPE-REST.1-PMP,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.601mm N 154263.868mm U 790.868mm,,,,
ileave tube of /PS-171021.2,=67132086/280,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.601mm N 153635.976mm U 794.008mm,,,,
PS-171021.2,=67132086/280,ATTA,MDS/AN578-25-PMP,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.601mm N 153008.083mm U 797.148mm,,,,
PS-171021.1,=67132086/279,ATTA,MDS/PIPE-REST.1-PMP,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.601mm N 153008.083mm U 797.148mm,,,,
ileave tube of =67132086/278,=67132086/278,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.601mm N 152945.648mm U 797.46mm,,,,
"ELBOW 4 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/278,ELBO,66620M0r01-GAS1/E90B-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.601mm N 152845.404mm U 797.961mm,,,,
ileave tube of =67132086/277,=67132086/277,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.601mm N 152845.402mm U 1211.436mm,,,,
"ELBOW 3 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/277,ELBO,66620M0r01-GAS1/E90B-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.6mm N 152845.4mm U 1625.1mm,,,,
"FLANGE 4 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/276,FLAN,66620M0r01-GAS1/WNFL-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.6mm N 152738.4mm U 1625.1mm,,,,
"GASKET 4 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/275,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.6mm N 152735.2mm U 1625.1mm,,,,
"VALVE 2 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/274,VALV,66620M0r01-GAS1/BARFL-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.6mm N 152627.2mm U 1625.1mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/273,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.6mm N 152516mm U 1625.1mm,,,,
"FLANGE 3 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/272,FLAN,66620M0r01-GAS1/WNFL-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.6mm N 152516mm U 1625.1mm,,,,
ileave tube of /PS-171020.1,=67132086/271,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.6mm N 152397mm U 1625.1mm,,,,
PS-171020.1,=67132086/271,ATTA,MDS/BT500-25-PMP,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.6mm N 152347mm U 1625.1mm,,,,
PS-171020.5,=67132086/270,ATTA,MDS/AN578-25-PMP,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.6mm N 152347mm U 1625.1mm,,,,
PS-171020.3,=67132086/269,ATTA,MDS/PIPE-REST.1-PMP,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.6mm N 152347mm U 1625.1mm,,,,
ileave tube of =67132086/268,=67132086/268,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.6mm N 152234.5mm U 1625.1mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/268,ELBO,66620M0r01-GAS1/E90B-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162763.6mm N 152084mm U 1625.1mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/267,FLAN,66620M0r01-GAS1/WNFL-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162870.6mm N 152084mm U 1625.1mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/266,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162873.8mm N 152084mm U 1625.1mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/265,VALV,66620M0r01-GAS1/BARFL-25,"BTRM-1000-1""-B1710013-66620M0-01",E 162981.8mm N 152084mm U 1625.1mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/264,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-1""-B1710013-66620M0-01",E 163093mm N 152084mm U 1625.1mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/263,FLAN,66620M0r01-GAS1/WNFL-25,"BTRM-1000-1""-B1710013-66620M0-01",E 163093mm N 152084mm U 1625.1mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/262,ELBO,66620M0r01-GAS1/E90B-25,"BTRM-1000-1""-B1710013-66620M0-01",E 163200mm N 152084mm U 1625.1mm,,,,
"REDUCER 1 of BRANCH /BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/261,REDU,66620M0r01-GAS1/RECB-50x25,"BTRM-1000-1""-B1710013-66620M0-01",E 163200mm N 152084mm U 1511.1mm,,,,
"BTRM-1000-1""-B1710013-66620M0-01/B1",=67132086/260,BRAN,,"BTRM-1000-1""-B1710013-66620M0-01",,,,,
"BTRM-1000-1""-B1710013-66620M0-01",=67132086/259,PIPE,,"BTRM-1000-1""-B1710013-66620M0-01",,,,,
"ELBOW 5 of BRANCH /BTRM-1000-1""-B1710014-66620M0-01/B1",=67132086/258,ELBO,66620M0r01-GAS1/E90B-25,"BTRM-1000-1""-B1710014-66620M0-01",E 157763.601mm N 158308.145mm U 795.646mm,,,,
ileave tube of /PS-171016.4,=67132086/257,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710014-66620M0-01",E 157763.601mm N 157689.453mm U 798.74mm,,,,
PS-171016.4,=67132086/257,ATTA,MDS/AN578-25-PMP,"BTRM-1000-1""-B1710014-66620M0-01",E 157763.601mm N 157108.572mm U 801.644mm,,,,
PS-171016.3,=67132086/256,ATTA,MDS/PIPE-REST.1-PMP,"BTRM-1000-1""-B1710014-66620M0-01",E 157763.601mm N 157108.572mm U 801.644mm,,,,
ileave tube of /PS-171015.1,=67132086/255,TUBI,66620M0r01-GAS1/PIPE-25,"BTRM-1000-1""-B1710014-66620M0-01",E 157763.601mm N 155686.283mm U 808.756mm,,,,
PS-171015.1,=67132086/255,ATTA,MDS/BT500-25-PMP,"BTRM-1000-1""-B1710014-66620M0-01",E 157763.601mm N 154263.993mm U 815.868mm,,,,
PS-171015.5,=67132086/254,ATTA,MDS/AN578-25-PMP,"BTRM-1000-1""-B1710014-66620M0-01",E 157763.601mm N 154263.993mm U 815.868mm,,,,
